id,type,location,agency
Glendale Community College: Petrachrome Benches; Glendale,Mosaics,Glendale,Federal Arts Project (FAP)
Griffith Park: Palo-Kangas Sculpture; Los Angeles,Sculpture and Bas Relief,Los Angeles,Federal Arts Project (FAP)
Hall of Records (former): Davis Mural; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Hooper Avenue Elementary School: Feitelson Murals; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Hooper Avenue Elementary School Mosaic; Los Angeles,Mosaics,Los Angeles,Federal Arts Project (FAP)
Lawndale High School Murals; Lawndale,Murals,Lawndale,Work Relief Programs; Works Progress Administration (WPA)
Lafayette Park Statue; Los Angeles,Sculpture and Bas Relief,Los Angeles,Federal Arts Project (FAP)
U.S. Courthouse: Garner Sculpture; Los Angeles,Sculpture and Bas Relief,Los Angeles,Treasury Section of Fine Arts (TSFA)
U.S. Courthouse: Hansen Sculpture; Los Angeles,Sculpture and Bas Relief,Los Angeles,Treasury Section of Fine Arts (TSFA)
U.S. Courthouse: Lion Sculptures; Los Angeles,Sculpture and Bas Relief,Los Angeles,Treasury Section of Fine Arts (TSFA)
Los Angeles Post Office Terminal Annex Murals; Los Angeles,Murals,Los Angeles,Federal & Military Operations; Treasury Department; Treasury Section of Fine Arts (TSFA)
South Pasadena Middle School Bas-Relief; South Pasadena,Sculpture and Bas Relief,South Pasadena,Work Relief Programs; Works Progress Administration (WPA)
Lou Henry Hoover School of Fine Arts: Mako Frieze; Whittier,Sculpture and Bas Relief,Whittier,Work Relief Programs; Works Progress Administration (WPA)
Exposition Park Sculpture; Los Angeles,Sculpture and Bas Relief,Los Angeles,Public Works of Art Project (PWAP)
Beverly Hills High School: Napolitano Mural; Beverly Hills,Murals,Beverly Hills,Federal Arts Project (FAP)
Post Office Murals (destroyed); Alhambra,Murals,Alhambra,Treasury Section of Fine Arts (TSFA)
Cabrillo Beach Park Statue; San Pedro,Sculpture and Bas Relief,San Pedro,Federal Arts Project (FAP); Work Relief Programs; Works Progress Administration (WPA)
Mountain View High School Mosaics; El Monte,Mosaics,El Monte,Federal Arts Project (FAP)
Historical Museum Paintings; El Monte,Paintings,El Monte,Federal Arts Project (FAP)
Post Office Mural; South Pasadena,Civic Facilities; Murals,South Pasadena,Treasury Relief Art Project (TRAP)
Ruth Home Mural (former); El Monte,Murals,El Monte,Federal Arts Project (FAP)
Post Office Murals; Redondo Beach,Murals,Redondo Beach,Treasury Relief Art Project (TRAP)
George Page Museum Mural; Los Angeles,Murals,Los Angeles,Federal Emergency Relief Administration (FERA); Public Works of Art Project (PWAP); State Emergency Relief Administration (SERA); Work Relief Programs
Irving STEAM Magnet School Mural; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Post Office Mural (destroyed); Maywood,Murals,Maywood,Treasury Section of Fine Arts (TSFA)
Post Office Mural; Claremont,Murals,Claremont,Treasury Relief Art Project (TRAP)
Post Office Sculpture; Claremont,Sculpture and Bas Relief,Claremont,Unknown
Hollywood High School: Gage Bas Reliefs; Los Angeles,Sculpture and Bas Relief,Los Angeles,Federal Arts Project (FAP)
George Washington Preparatory High School: Lundeberg Mural; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Post Office Bas Relief; Covina,Sculpture and Bas Relief,Covina,Treasury Section of Fine Arts (TSFA)
Post Office (former) Mural; Venice,Murals,Venice,Treasury Section of Fine Arts (TSFA)
Post Office Mural; Culver City,Murals,Culver City,Treasury Section of Fine Arts (TSFA)
Jordan High School: Ulber Mural; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Post Office Mural (former); Whittier,Murals,Whittier,Federal & Military Operations; Treasury Department; Treasury Relief Art Project (TRAP); Treasury Section of Fine Arts (TSFA)
South Pasadena High School: Gage Bas Reliefs; South Pasadena,Bas Reliefs,South Pasadena,Federal Arts Project (FAP)
Echo Park Statue; Los Angeles,Sculptures,Los Angeles,Federal Arts Project (FAP); Public Works of Art Project (PWAP); Work Relief Programs; Works Progress Administration (WPA)
Post Office Relief; Gardena,Sculpture and Bas Relief,Gardena,Federal & Military Operations; Public Buildings Administration (PBA); Treasury Section of Fine Arts (TSFA)
City of Hope: Guston & Kadish Mural; Duarte,Murals,Duarte,Federal Arts Project (FAP)
Santa Monica High School: Hrdy Bas Relief; Santa Monica,Sculpture and Bas Relief,Santa Monica,Federal Arts Project (FAP)
Virgil Middle School Mural; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Thomas Jefferson High School Mural; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Hollenbeck Middle School Mural; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Bob Hope Patriotic Hall Murals; Los Angeles,Murals,Los Angeles,WPA Arts Project (WPAAP)
Polytechnic High School Mural; Long Beach,Murals,Long Beach,Federal Arts Project (FAP)
Billie Jean King Main Library Murals; Long Beach,Murals,Long Beach,Federal Arts Project (FAP)
Jane Addams Elementary School Fresco; Long Beach,Murals,Long Beach,Federal Arts Project (FAP)
Fairfax High School Sculptures (former); Los Angeles,Sculptures,Los Angeles,Federal Arts Project (FAP)
John Marshall High School: Swartz Sculpture; Los Angeles,Sculptures,Los Angeles,Public Works of Art Project (PWAP)
Post Office (former) Sculpture (relocated); Bell,Sculpture and Bas Relief,Bell,Treasury Relief Art Project (TRAP)
Edison Middle School: Feitelson Mural; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
John Marshall High School: Comfort Murals; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Phineas Banning High School: Redmond Mural; Wilmington,Murals,Los Angeles,Federal Arts Project (FAP)
Thomas Starr King Middle School: Redmond Mural; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
George Washington Preparatory High School: Dickinson Murals; Los Angeles,Murals,Los Angeles,Public Works of Art Project (PWAP)
Ninth Street Elementary School Mural; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Hollywood High School: Douglas Mural; Los Angeles,Murals,Los Angeles,Federal Emergency Relief Administration (FERA); Public Works of Art Project (PWAP)
North Hollywood High School Mural; North Hollywood,Murals,North Hollywood,Federal Arts Project (FAP)
Post Office Bas-Reliefs (Exterior); Inglewood,Sculpture and Bas Relief,Inglewood,Treasury Relief Art Project (TRAP)
John Marshall High School: Napolitano Murals; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Thomas Starr King Middle School: Napolitano Murals; Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
George Washington Preparatory High School: Miller Frescoes (destroyed); Los Angeles,Murals,Los Angeles,Federal Arts Project (FAP)
Jordan High School: Gellert Portrait; Los Angeles,Paintings,Los Angeles,State Emergency Relief Administration (SERA); Work Relief Programs
Belmont High School: Spohn Mosaic; Los Angeles,Mosaics,Los Angeles,Federal Arts Project (FAP)
Thomas Starr King Middle School: Dickinson Mosaics; Los Angeles,Mosaics,Los Angeles,Federal Arts Project (FAP)
University High School Charter Mosaics; Los Angeles,Mosaics,Los Angeles,Federal Arts Project (FAP)
Fries Avenue Elementary School Sculpture; Wilmington,Sculptures,Los Angeles,Federal Arts Project (FAP)
Belmont High School: Herron Sculpture; Los Angeles,Sculptures,Los Angeles,Federal Arts Project (FAP)
Power of Water Fountain; Los Angeles,Sculpture and Bas Relief,Los Angeles,Public Works of Art Project (PWAP)
Phineas Banning High School: Burnham Sculpture; Wilmington,Sculptures,Los Angeles,Public Works of Art Project (PWAP)
Lincoln Park Sculpture; Los Angeles,Sculptures,Los Angeles,Federal Arts Project (FAP)
Glendale Community College Sculpture (lost); Glendale,Sculptures,Glendale,Federal Arts Project (FAP)
South Pasadena High School: Herron Sculpture; South Pasadena,Sculptures,South Pasadena,Federal Arts Project (FAP)
U.S. Courthouse: Biberman Painting; Los Angeles,Paintings,Los Angeles,Treasury Section of Fine Arts (TSFA)
Santa Monica High School: Buff Mural; Santa Monica,Murals,Santa Monica,Federal Arts Project (FAP)
Post Office (former) Murals; Beverly Hills,Murals,Beverly Hills,Treasury Relief Art Project (TRAP); Treasury Section of Fine Arts (TSFA)
Santa Monica High School: Clements Mosaic; Santa Monica,Mosaics,Santa Monica,Federal Arts Project (FAP)
Hollywood Bowl Sculpture; Los Angeles,Sculptures,Los Angeles,Federal Arts Project (FAP); Work Relief Programs; Works Progress Administration (WPA)
East Whittier Middle School Mosaics; Whittier,Mosaics,Whittier,Federal Arts Project (FAP); Work Relief Programs; Works Progress Administration (WPA)
South Gate Community Center Murals; South Gate,Murals,South Gate,Federal Arts Project (FAP); Work Relief Programs; Works Progress Administration (WPA)
Dana Middle School Murals; San Pedro,Murals,San Pedro,Federal Arts Project (FAP)
U.S. Courthouse: Labaudt Paintings; Los Angeles,Paintings,Los Angeles,Treasury Section of Fine Arts (TSFA)
Thomas Edison Middle School Mosaic; Los Angeles,Mosaics,Los Angeles,Federal Arts Project (FAP)
